year,pct,sex,race,stopped,arrested,frisked,searched,summoned,contrabn,weapnfnd,pf_weapn,pf_hcuff,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furtv,rf_bulge
2003,6.0,M,W,135.0,16.0,52.0,21.0,5.0,7.0,5.0,6.0,16.0,7.0,50.0,32.0,10.0,1.0,21.0,17.0,7.0,5.0,18.0,25.0,0.0,9.0,12.0,1.0,0.0,17.0,3.0
2003,7.0,F,A,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,7.0,F,B,43.0,4.0,8.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,4.0,9.0,2.0,1.0,9.0,6.0,2.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2003,7.0,F,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,7.0,F,P,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2003,7.0,F,Q,43.0,3.0,8.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,8.0,5.0,0.0,1.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
2003,7.0,F,W,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2003,7.0,M,A,65.0,8.0,41.0,13.0,3.0,6.0,4.0,2.0,4.0,9.0,16.0,5.0,3.0,1.0,7.0,13.0,0.0,1.0,5.0,21.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0
2003,7.0,M,B,447.0,38.0,194.0,42.0,10.0,13.0,10.0,9.0,19.0,7.0,144.0,59.0,24.0,7.0,40.0,69.0,20.0,29.0,46.0,83.0,14.0,8.0,31.0,2.0,7.0,60.0,28.0
2003,7.0,M,I,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,7.0,M,P,137.0,8.0,56.0,8.0,6.0,3.0,0.0,1.0,6.0,1.0,49.0,17.0,13.0,5.0,13.0,18.0,4.0,7.0,21.0,15.0,9.0,3.0,7.0,1.0,3.0,15.0,5.0
2003,7.0,M,Q,653.0,54.0,265.0,71.0,20.0,32.0,22.0,9.0,25.0,17.0,171.0,70.0,57.0,15.0,71.0,110.0,8.0,32.0,62.0,116.0,29.0,16.0,39.0,2.0,12.0,98.0,41.0
2003,7.0,M,W,117.0,19.0,57.0,18.0,6.0,6.0,5.0,2.0,4.0,8.0,21.0,17.0,4.0,3.0,17.0,20.0,5.0,8.0,5.0,29.0,6.0,3.0,10.0,0.0,4.0,19.0,8.0
2003,9.0,F,A,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,9.0,F,B,20.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
2003,9.0,F,I,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,9.0,F,P,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2003,9.0,F,Q,33.0,2.0,9.0,2.0,0.0,0.0,3.0,5.0,1.0,3.0,8.0,2.0,3.0,0.0,5.0,7.0,2.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0
2003,9.0,F,W,59.0,9.0,18.0,6.0,8.0,2.0,0.0,0.0,2.0,2.0,15.0,8.0,2.0,3.0,8.0,17.0,4.0,2.0,1.0,3.0,2.0,1.0,5.0,0.0,0.0,9.0,2.0
2003,9.0,M,A,32.0,6.0,16.0,7.0,1.0,4.0,0.0,0.0,3.0,0.0,8.0,4.0,2.0,0.0,4.0,7.0,0.0,0.0,3.0,6.0,1.0,1.0,4.0,0.0,0.0,7.0,0.0
2003,9.0,M,B,405.0,40.0,215.0,45.0,18.0,14.0,17.0,12.0,34.0,12.0,105.0,78.0,46.0,6.0,78.0,121.0,20.0,21.0,46.0,69.0,14.0,16.0,35.0,7.0,8.0,110.0,15.0
2003,9.0,M,I,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,9.0,M,P,73.0,2.0,42.0,10.0,2.0,1.0,1.0,0.0,5.0,1.0,28.0,10.0,10.0,2.0,20.0,23.0,3.0,6.0,9.0,8.0,11.0,5.0,8.0,0.0,0.0,20.0,7.0
2003,9.0,M,Q,508.0,39.0,277.0,46.0,20.0,15.0,16.0,12.0,35.0,15.0,141.0,74.0,57.0,6.0,61.0,166.0,18.0,34.0,53.0,81.0,25.0,11.0,51.0,2.0,11.0,160.0,29.0
2003,9.0,M,W,316.0,32.0,139.0,22.0,15.0,11.0,4.0,3.0,19.0,13.0,108.0,49.0,19.0,3.0,45.0,72.0,16.0,3.0,25.0,39.0,20.0,8.0,26.0,3.0,7.0,69.0,12.0
2003,10.0,F,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,10.0,F,B,39.0,4.0,11.0,6.0,2.0,3.0,1.0,2.0,4.0,0.0,4.0,3.0,4.0,0.0,2.0,5.0,2.0,0.0,1.0,8.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0
2003,10.0,F,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
